# path|token|owner|date|reason
# Exact historical exceptions only. Wildcard paths and wildcard token entries are rejected by migration_guard.py.
CHANGELOG.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
CHANGELOG.md|.python-kit-prompts|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
CHANGELOG.md|ai_kit_v3|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
CHANGELOG.md|python_kit.py|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
CHANGELOG.md|python_kit_legacy.py|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/analyst/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/api-integration/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/architect/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/bootstrap/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/brainstorm-hub/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/cook/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/data-persistence/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/debug-hub/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/dependency-management/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/developer/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/plan-hub/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/pm/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/project-architecture/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/qa-governor/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/review-hub/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
apps/python-kit-sales-web/.agent/skills/scout-hub/SKILL.md|.ai-kit|runtime-migration|2026-04-24|Historical compatibility artifact retained for cutover evidence.
